COMPANYID;CEQID;CANID;DATA;DT_INTEGRACAO;LAT;LON;ALT;DIRECTION;SPEED;FAMILYCODE;FUNCTION;ERRORTAGS;TYPE;TEXT;UNIFIEDVALUE;UOM;VALUE
ACC000028047;CEQ000439555;7411;23/09/2023 19:08:04;24/09/2023 05:35:36;-22.638264;-50.08603;578.09;187.3;;BC_HYD_PRESS;last;;Numeric;;5525;KPA;5525
ACC000028047;CEQ000439555;7411;23/09/2023 18:46:59;24/09/2023 00:09:57;-22.63782;-50.085964;552.3;6.7;;BC_HYD_PRESS;last;;Numeric;;7780;KPA;7780
ACC000028047;CEQ000439555;7411;23/09/2023 18:45:58;24/09/2023 00:09:57;-22.639116;-50.08617;553.86;11.4;;BC_HYD_PRESS;last;;Numeric;;8465;KPA;8465
ACC000028047;CEQ000439555;7411;24/09/2023 10:42:39;24/09/2023 14:06:01;-22.635635;-50.081585;563.1;252.3;;BC_HYD_PRESS;last;;Numeric;;9880;KPA;9880
ACC000028047;CEQ000439555;7411;24/09/2023 10:41:38;24/09/2023 14:06:01;-22.6355;-50.08006;567.37;275.9;;BC_HYD_PRESS;last;;Numeric;;5590;KPA;5590
ACC000028047;CEQ000439555;7411;24/09/2023 14:17:59;24/09/2023 17:49:30;-22.637642;-50.083073;564.66;29.1;;BC_HYD_PRESS;last;;Numeric;;5815;KPA;5815
ACC000028047;CEQ000439555;7411;22/09/2023 11:08:56;22/09/2023 14:13:39;-22.638287;-50.092068;535.96;185.3;;BC_HYD_PRESS;last;;Numeric;;8345;KPA;8345
ACC000028047;CEQ000439555;7411;23/09/2023 05:28:55;23/09/2023 18:25:49;-22.64078;-50.087418;555.26;195.9;;BC_HYD_PRESS;last;;Numeric;;6530;KPA;6530
ACC000028047;CEQ000439555;7411;23/09/2023 05:13:53;23/09/2023 18:25:49;-22.64292;-50.08811;563.8;16.5;;BC_HYD_PRESS;last;;Numeric;;5690;KPA;5690
ACC000028047;CEQ000439555;7411;23/09/2023 04:58:50;23/09/2023 18:25:49;-22.641542;-50.08771;554.32;197.1;;BC_HYD_PRESS;last;;Numeric;;5120;KPA;5120
ACC000028047;CEQ000439555;7411;23/09/2023 04:57:50;23/09/2023 18:25:49;-22.64043;-50.087376;555.35;193.4;;BC_HYD_PRESS;last;;Numeric;;5485;KPA;5485
